"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
3,2,0,5,1,1,2,1,0,0,1,0,"ID_ae6f14eaf",1,2,"four",7
3,2,0,10,1,4,3,3,0,1,1,0,"ID_9ab8f9f00",1,4,"four",7
2,0,0,7,1,0,0,0,0,0,2,0,"ID_395d62362",1,2,"four",1
1,0,125000,3,1,1,0,1,0,0,1,0,"ID_a4ee5e993",1,2,"four",2
4,0,0,5,1,1,1,0,0,1,4,0,"ID_62b58d164",1,4,"three",4
2,0,0,5,1,1,0,1,0,0,2,0,"ID_8064d34af",1,3,"two",1
1,0,0,3,1,2,0,2,0,0,1,0,"ID_eed978a3d",1,3,"two",8
2,1,0,6,1,1,1,1,0,0,1,0,"ID_9a28b2fc0",1,2,"one",1
1,0,0,5,1,0,0,0,0,0,1,0,"ID_f9c2761db",1,1,"three",2
2,1,35000,4,1,1,1,1,0,0,1,0,"ID_5827daee1",1,2,"one",1
1,0,50000,4,1,2,1,1,0,1,1,0,"ID_dd9161889",1,2,"four",2
2,1,185000,4,1,0,1,0,0,0,1,0,"ID_864cefe4b",1,1,"four",1
2,0,0,4,1,3,1,2,0,1,2,0,"ID_4e1a05cce",1,4,"four",8
1,0,0,5,1,3,0,3,0,0,1,0,"ID_b70681ddf",1,4,"one",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_9bb845c47",1,4,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_362852b8d",1,1,"three",2
2,0,0,6,1,1,0,1,0,0,2,0,"ID_45a11fd90",1,3,"four",1
2,0,0,3,1,0,0,0,0,0,2,0,"ID_19cb07adb",1,2,"three",1
1,0,30000,5,1,2,0,2,0,0,1,0,"ID_96d940bdb",1,3,"four",8
2,0,342324,7,1,2,0,2,0,0,2,0,"ID_ebeab0844",1,4,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_688b5f095",1,1,"two",2
3,1,0,5,1,1,1,1,0,0,2,0,"ID_bf1651a55",1,3,"two",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_f5ad3261a",1,2,"four",2
0,0,0,6,1,1,0,1,0,0,0,0,"ID_a9f82cba8",1,1,"four",2
3,1,2e+05,5,1,1,1,1,0,0,2,0,"ID_eba812b88",1,3,"three",1
3,0,250000,4,1,0,0,0,0,0,3,0,"ID_5b989100e",1,3,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_a5a03841a",1,2,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_af66805cd",1,3,"four",8
2,0,0,9,1,2,0,2,0,0,2,0,"ID_34d29f00d",1,4,"four",8
4,0,0,5,1,1,0,1,0,0,4,0,"ID_0bc817cb2",1,5,"two",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_b60681de8",1,2,"four",2
2,0,20000,4,1,0,0,0,0,0,2,0,"ID_3c61b2ed9",1,2,"two",1
3,1,0,1,1,3,2,2,1,1,2,1,"ID_847f00051",1,4,"one",3
1,0,0,4,1,0,0,0,0,0,1,0,"ID_2dd7a7f73",1,1,"three",2
3,2,0,5,1,1,2,1,0,0,1,0,"ID_1897502d6",1,2,"two",7
3,1,0,5,1,3,2,2,0,1,2,0,"ID_f3c2834c2",1,4,"four",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_3ead7d433",1,3,"four",1
1,0,0,6,1,4,0,4,0,0,1,0,"ID_6aa717111",1,5,"three",8
1,0,0,4,1,2,1,1,0,1,1,0,"ID_ab755cf98",1,2,"four",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_5125b13db",1,4,"four",8
3,2,175000,5,1,2,3,1,0,1,1,0,"ID_d1c8bde78",1,2,"one",7
1,0,0,1,1,0,0,0,0,0,1,0,"ID_1316926fe",1,1,"four",2
2,1,240000,5,1,3,2,2,0,1,1,0,"ID_d8ba76fe8",1,3,"four",7
0,0,140000,4,1,1,0,1,0,0,0,0,"ID_911277bc2",1,1,"four",2
2,1,342324,7,1,2,2,1,0,1,1,0,"ID_0ce030878",1,2,"four",7
1,0,0,4,1,2,0,2,0,0,1,0,"ID_13053b0c4",1,3,"four",8
4,1,0,7,1,3,2,2,0,1,3,0,"ID_75ece246a",1,5,"two",4
0,0,0,3,1,1,0,1,0,0,0,0,"ID_8b80d0589",1,1,"four",2
2,1,0,7,1,2,2,1,0,1,1,0,"ID_a390e64a5",1,2,"two",7
1,0,0,5,1,0,0,0,0,0,1,0,"ID_b17692e38",1,1,"three",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_4bbdd844f",1,3,"four",8
6,3,0,7,1,1,3,1,0,0,3,0,"ID_f121daf45",1,4,"four",4
5,3,150000,5,1,0,3,0,0,0,2,0,"ID_5259b18e1",1,2,"four",7
2,1,0,7,1,3,1,3,0,0,1,0,"ID_5c6bf8873",1,4,"four",8
3,0,0,5,1,1,0,1,0,0,3,0,"ID_b19dd0f2a",1,4,"four",1
4,1,0,4,1,5,4,2,1,3,3,0,"ID_44031e6d2",1,5,"two",3
1,0,0,6,1,2,0,2,0,0,1,0,"ID_fce3fc3fa",1,3,"four",8
0,0,0,5,1,2,0,2,0,0,0,0,"ID_9f8e38716",1,2,"four",2
2,0,0,5,1,0,0,0,0,0,2,0,"ID_76e3beccd",1,2,"four",1
0,0,0,5,1,1,0,1,0,0,0,0,"ID_7f2fac795",1,1,"four",2
1,0,150000,2,1,2,0,2,0,0,1,0,"ID_f78006324",1,3,"three",8
1,0,0,3,1,2,1,1,0,1,1,0,"ID_f1802710d",1,2,"four",2
0,0,0,5,1,3,1,2,0,1,0,0,"ID_ca62ccb8b",1,2,"four",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_0401ae315",1,4,"four",8
3,1,150000,4,1,1,1,1,0,0,2,0,"ID_00721ed96",1,3,"four",1
0,0,50000,3,1,1,0,1,0,0,0,0,"ID_ea0f4d681",1,1,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_bdd41aeef",1,3,"four",8
2,0,0,5,1,3,0,3,0,0,2,0,"ID_670743a39",1,5,"four",8
1,0,0,6,1,1,0,1,0,0,1,0,"ID_6259ad37a",1,2,"three",2
1,0,1e+05,3,1,0,0,0,0,0,1,0,"ID_9fdee63f3",1,1,"two",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_1bd299508",1,2,"four",2
2,0,0,4,0,0,0,0,0,0,2,0,"ID_668567056",1,2,"four",5
2,0,90000,2,1,2,0,2,0,0,2,1,"ID_c51938edf",1,4,"four",3
1,0,0,4,1,2,0,2,0,0,1,0,"ID_494b508a4",1,3,"one",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_684947478",1,2,"three",2
2,0,0,6,1,1,0,1,0,0,2,0,"ID_4ae46affd",1,3,"four",1
1,0,0,5,1,4,2,2,0,2,1,0,"ID_0b80e160b",1,3,"three",7
2,0,0,6,1,1,0,1,0,0,2,0,"ID_49336088a",1,3,"four",1
3,1,0,7,1,0,1,0,0,0,2,0,"ID_495c398a2",1,2,"three",1
1,0,260000,5,1,3,1,2,0,1,1,0,"ID_22d324777",1,3,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_5c7addd02",1,3,"three",1
1,0,270000,5,1,1,1,0,0,1,1,0,"ID_39f0d4e07",1,1,"three",2
2,0,150000,6,1,1,0,1,0,0,2,0,"ID_5ea646ecf",1,3,"four",1
1,0,0,4,1,2,0,2,0,0,1,0,"ID_b0d4bd661",1,3,"two",8
4,0,0,5,1,3,2,1,0,2,4,0,"ID_a69982d97",1,5,"two",4
1,0,0,4,1,2,1,1,0,1,1,0,"ID_9f79ed8c2",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_c73d7c2f9",1,2,"four",2
2,1,0,4,1,3,2,2,0,1,1,0,"ID_8c4e4b129",1,3,"three",7
1,0,855810,8,1,4,0,4,0,0,1,0,"ID_22285c618",1,5,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_41a94fbc7",1,3,"three",8
2,0,0,6,1,3,1,2,0,1,2,0,"ID_2477cfac6",1,4,"three",8
4,1,0,8,1,3,1,3,0,0,3,0,"ID_8d5ccd038",1,6,"four",4
3,0,0,6,1,1,0,1,0,0,3,0,"ID_cd5316526",1,4,"four",1
2,0,0,1,1,0,0,0,0,0,2,0,"ID_62d19c133",1,2,"three",1
1,0,110000,6,1,2,0,2,0,0,1,0,"ID_35fd44937",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_645c04e40",1,2,"four",2
1,0,70000,5,1,2,1,1,0,1,1,0,"ID_94d8098eb",1,2,"four",2
0,0,0,3,0,2,0,2,0,0,0,0,"ID_1c02393b7",1,2,"four",5
2,1,170000,4,1,2,1,2,0,0,1,0,"ID_707ebf26b",1,3,"four",8
2,1,0,4,1,1,1,1,0,0,1,0,"ID_21ef83ccd",1,2,"four",1
2,1,250000,5,1,1,1,1,0,0,1,0,"ID_f536c892a",1,2,"four",1
2,0,0,3,1,0,0,0,0,0,2,0,"ID_2521abcb8",1,2,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_9da6cd712",1,2,"four",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_a954ccae1",1,4,"three",8
3,0,145000,4,1,3,2,1,0,2,3,0,"ID_f3f8940d7",1,4,"three",7
1,0,0,4,1,0,0,0,0,0,1,0,"ID_1ff6753ad",1,1,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_7b103c97f",1,3,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_f551efbc8",1,3,"two",1
2,0,0,6,1,1,0,1,0,0,2,0,"ID_70de614ec",1,3,"four",1
1,0,140000,5,1,3,0,3,0,0,1,0,"ID_c111b2b0e",1,4,"four",8
1,0,0,7,1,1,0,1,0,0,1,0,"ID_ab0208709",1,2,"four",2
2,1,0,4,1,2,2,1,0,1,1,0,"ID_ab76095a4",1,2,"three",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_5b40355a5",1,3,"four",1
1,0,1e+05,6,1,3,2,1,0,2,1,0,"ID_754585a47",1,2,"four",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_0173ee9bd",1,3,"four",8
2,0,0,6,1,1,0,1,0,0,2,0,"ID_f881291e3",1,3,"four",1
1,0,0,5,1,4,1,3,0,1,1,0,"ID_34ef645e4",1,4,"four",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_d39ac3df5",1,3,"four",8
2,0,0,3,1,3,0,3,0,0,2,0,"ID_1b9f2936a",1,5,"two",8
2,0,73000,6,1,2,0,2,0,0,2,0,"ID_97e8db651",1,4,"four",8
2,1,0,4,1,1,1,1,0,0,1,0,"ID_0b8a9d699",1,2,"four",1
2,0,150000,6,1,1,0,1,0,0,2,0,"ID_bdf3d8862",1,3,"four",1
2,1,0,5,1,2,2,1,0,1,1,0,"ID_c88c1a043",1,2,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fd0e3ba68",1,2,"four",2
2,0,104000,4,1,2,0,2,0,0,2,0,"ID_12ec69771",1,4,"three",8
3,1,0,4,1,2,1,2,0,0,2,0,"ID_8cf71807e",1,4,"one",4
2,0,70000,5,1,2,0,2,0,0,2,0,"ID_3041cb9e7",1,4,"four",8
1,0,0,4,1,3,2,1,0,2,1,0,"ID_9a8f13a27",1,2,"four",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_d6942f2ed",1,3,"four",1
2,1,0,3,1,2,2,1,0,1,1,0,"ID_82a4220c3",1,2,"one",7
2,0,0,4,1,1,0,1,0,0,2,0,"ID_6a9696c3c",1,3,"four",1
1,0,40000,4,1,1,0,1,0,0,1,0,"ID_48c0d7f92",1,2,"two",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_8b4ea023c",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_1ff246a75",1,2,"three",2
1,0,93000,3,1,1,0,1,0,0,1,0,"ID_35ab6a10d",1,2,"four",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_08bcb6370",1,3,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_0bc1fc6bb",1,3,"three",1
2,0,0,7,1,3,0,3,0,0,2,0,"ID_c331ec76c",1,5,"four",8
2,1,160000,3,1,2,3,0,0,2,1,0,"ID_a433898b4",1,1,"one",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fbecd5ddc",1,2,"two",2
3,1,0,5,1,1,1,1,0,0,2,0,"ID_ac7e107ea",1,3,"three",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_236473c6c",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_33bf9a2a9",1,2,"one",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_83ce5e331",1,2,"two",2
1,0,270000,6,1,1,0,1,0,0,1,0,"ID_63312e786",1,2,"four",2
1,0,0,6,1,3,0,3,0,0,1,0,"ID_be7f38d7a",1,4,"four",8
4,0,0,6,1,1,0,1,0,0,4,0,"ID_42f063253",1,5,"four",4
1,0,0,4,1,2,0,2,0,0,1,0,"ID_6d968964d",1,3,"three",8
2,0,0,6,1,1,0,1,0,0,2,0,"ID_ec3f93937",1,3,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_5ab7adcca",1,2,"two",2
2,1,250000,6,1,1,1,1,0,0,1,0,"ID_6d92eaff2",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_e5c2bb49d",1,2,"three",2
2,1,0,4,1,2,2,1,0,1,1,0,"ID_8117fd938",1,2,"four",7
2,1,0,7,1,2,2,1,0,1,1,0,"ID_d2f6ab6ca",1,2,"four",7
1,0,0,6,1,0,0,0,0,0,1,0,"ID_7c33c1884",1,1,"one",2
2,0,0,3,1,1,0,1,0,0,2,0,"ID_009ba9a39",1,3,"four",1
1,0,0,4,1,2,1,1,0,1,1,0,"ID_c9fa0b1a8",1,2,"four",2
3,0,0,9,1,2,0,2,0,0,3,0,"ID_af91baa26",1,5,"four",4
2,0,0,6,1,1,0,1,0,0,2,0,"ID_1fbe77cae",1,3,"one",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_1376aba95",1,2,"two",2
1,0,0,6,1,4,1,3,0,1,1,0,"ID_2525fe240",1,4,"four",8
3,1,0,3,1,1,1,1,0,0,2,0,"ID_2b934ba57",1,3,"four",1
3,1,0,5,1,2,2,1,0,1,2,0,"ID_338316f20",1,3,"two",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_d997315c1",1,2,"four",2
2,1,0,4,1,3,2,2,0,1,1,0,"ID_c0a7f2144",1,3,"two",7
1,0,0,5,1,3,2,1,0,2,1,0,"ID_1c111291e",1,2,"four",7
2,0,2e+05,5,1,0,0,0,0,0,2,0,"ID_3266ad68d",1,2,"two",1
2,1,250000,4,1,1,1,1,0,0,1,0,"ID_705a74481",1,2,"four",1
2,1,0,4,1,2,2,1,0,1,1,0,"ID_05c962cb5",1,2,"four",7
1,0,0,5,1,0,0,0,0,0,1,0,"ID_398bd4df3",1,1,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_8fd3e5446",1,2,"four",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_a404bd466",1,2,"four",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_086eaea01",1,1,"four",2
3,1,0,2,1,2,1,2,1,0,2,1,"ID_478a01bcb",1,4,"four",3
2,1,75000,4,1,0,1,0,0,0,1,0,"ID_c767c5f0b",1,1,"three",1
2,1,0,2,1,1,1,1,0,0,1,0,"ID_05347de58",1,2,"two",1
1,0,0,4,0,2,0,2,0,0,1,0,"ID_d61734d32",1,3,"four",5
1,0,0,7,1,0,0,0,0,0,1,0,"ID_8a7a884af",1,1,"three",2
4,3,0,3,1,1,3,1,0,0,1,0,"ID_33bc5cf52",1,2,"two",7
1,0,0,7,1,1,0,1,0,0,1,0,"ID_ce1115e52",1,2,"four",2
1,0,150000,6,1,3,0,3,0,0,1,0,"ID_8f65f640d",1,4,"four",8
0,0,0,9,1,2,0,2,0,0,0,0,"ID_1aef97e9c",1,2,"four",8
1,0,120000,3,1,1,0,1,0,0,1,0,"ID_83a8404fa",1,2,"four",2
3,0,0,7,1,0,0,0,0,0,3,0,"ID_17a9f9209",1,3,"four",1
1,0,0,7,1,6,0,6,0,0,1,0,"ID_cf1f444d9",1,7,"two",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_996ba5efe",1,2,"three",2
2,0,0,3,1,8,0,8,1,0,2,1,"ID_5523605f1",1,10,"four",3
2,0,0,5,1,1,0,1,0,0,2,0,"ID_a86479c37",1,3,"four",1
7,2,0,5,1,3,4,1,0,2,5,1,"ID_5e8f40630",1,6,"one",3
3,2,0,4,1,0,2,0,0,0,1,0,"ID_ccf527b63",1,1,"two",7
3,1,2e+05,5,1,2,1,2,0,0,2,0,"ID_0cf382883",1,4,"four",4
0,0,0,4,1,1,0,1,0,0,0,0,"ID_1bc0561a1",1,1,"four",2
0,0,0,4,0,1,0,1,0,0,0,0,"ID_725cc25be",1,1,"four",5
0,0,0,3,1,1,0,1,0,0,0,0,"ID_8ced100fe",1,1,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_f33a5986c",1,2,"four",1
2,0,0,5,1,3,2,1,0,2,2,0,"ID_f260e1507",1,3,"one",7
2,0,0,7,1,2,0,2,0,0,2,0,"ID_9d88f8a87",1,4,"four",8
2,1,0,4,1,0,1,0,0,0,1,0,"ID_68139a6b8",1,1,"four",1
3,2,0,4,1,1,2,1,0,0,1,0,"ID_bfdbb8d10",1,2,"one",7
3,0,0,8,1,1,0,1,0,0,3,0,"ID_712011a3b",1,4,"four",4
1,0,35000,4,1,1,0,1,0,0,1,0,"ID_dd1a2208f",1,2,"four",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_1d6c5c38e",1,2,"two",2
2,0,270000,5,1,1,0,1,0,0,2,0,"ID_1480e5a59",1,3,"four",1
3,2,285000,6,1,2,2,2,0,0,1,0,"ID_2f2c7bbf4",1,3,"four",7
2,1,4e+05,8,1,2,2,1,0,1,1,0,"ID_af4896dce",1,2,"four",7
1,0,40000,3,1,1,0,1,0,0,1,0,"ID_8f20a6285",1,2,"two",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_b65a91940",1,2,"four",1
2,0,0,7,1,1,0,1,0,0,2,0,"ID_4da812d9b",1,3,"four",1
1,0,0,4,1,2,2,0,0,2,1,0,"ID_81c004cc5",1,1,"one",7
1,0,25000,5,1,2,0,2,0,0,1,0,"ID_7699c7520",1,3,"three",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_d119c32be",1,3,"three",1
1,0,0,7,1,2,0,2,0,0,1,0,"ID_1902e8179",1,3,"three",8
2,0,120000,5,1,1,0,1,0,0,2,0,"ID_e582c2fd8",1,3,"four",1
2,1,220000,6,1,2,1,2,0,0,1,0,"ID_2092b2c88",1,3,"four",8
1,0,0,2,1,1,0,1,0,0,1,0,"ID_72ec0e9f2",1,2,"two",2
2,0,0,7,1,3,0,3,0,0,2,0,"ID_4e81ba618",1,5,"three",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_2ad044443",1,1,"four",2
2,0,0,4,1,2,0,2,0,0,2,0,"ID_b5e002b7c",1,4,"three",8
1,0,0,5,1,0,0,0,0,0,1,0,"ID_f0083f855",1,1,"four",2
0,0,0,9,1,1,0,1,0,0,0,0,"ID_c1d668105",1,1,"four",2
2,0,159751,4,1,0,0,0,0,0,2,0,"ID_b8f141aa1",1,2,"four",1
2,0,4e+05,6,1,2,0,2,0,0,2,0,"ID_831a9f8e6",1,4,"four",8
2,1,0,2,1,0,1,0,0,0,1,0,"ID_ab31e4ba4",1,1,"four",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_ee83b5e4e",1,3,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_1c08ffb74",1,1,"one",2
0,0,60000,3,1,1,0,1,0,0,0,0,"ID_8c1db0fec",1,1,"four",2
3,0,0,9,1,2,1,1,0,1,3,0,"ID_904781cfa",1,4,"two",4
1,0,210000,5,1,1,0,1,0,0,1,0,"ID_30f5c0b70",1,2,"four",2
3,0,0,5,1,2,0,2,0,0,3,0,"ID_c96627679",1,5,"one",4
2,0,0,5,1,2,0,2,0,0,2,0,"ID_c6851e420",1,4,"four",8
2,1,150000,6,1,2,1,2,0,0,1,0,"ID_24e643bb5",1,3,"four",8
2,0,72000,3,1,1,0,1,0,0,2,0,"ID_c6148e593",1,3,"two",1
3,2,0,4,1,1,2,1,0,0,1,0,"ID_8e0291b7e",1,2,"four",7
4,2,0,9,1,3,3,2,0,1,2,0,"ID_6c22df966",1,4,"two",7
3,1,120000,4,1,1,1,1,0,0,2,0,"ID_f65aec32c",1,3,"three",1
1,0,0,5,1,2,1,1,0,1,1,0,"ID_5589f6aa5",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fafe861f9",1,2,"one",2
4,0,3e+05,8,1,1,0,1,0,0,4,0,"ID_37e5720d2",1,5,"four",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_3f8e8f041",1,2,"one",2
1,0,160000,5,1,2,0,2,0,0,1,0,"ID_fbc4a722f",1,3,"four",8
3,0,3e+05,6,1,1,0,1,0,0,3,0,"ID_5086088e1",1,4,"four",4
2,1,0,4,1,2,2,1,0,1,1,0,"ID_bd3e47a9c",1,2,"three",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_cb54e8689",1,2,"four",2
2,1,0,6,1,2,1,2,0,0,1,0,"ID_96fef600e",1,3,"three",8
1,0,0,5,1,2,1,1,0,1,1,0,"ID_4a8231268",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_d9890ed38",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_3c6c4e38d",1,3,"two",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_7fd5b5850",1,3,"four",8
2,0,290975,5,1,2,0,2,0,0,2,0,"ID_ec8b14b52",1,4,"four",8
2,1,0,4,1,3,1,3,0,0,1,0,"ID_5f2305a51",1,4,"four",8
1,0,0,4,1,3,0,3,0,0,1,0,"ID_44060c6c1",1,4,"one",8
1,0,55000,4,1,1,0,1,0,0,1,0,"ID_d735bd779",1,2,"four",2
1,0,0,4,1,2,1,1,0,1,1,0,"ID_fed2ee0d7",1,2,"three",2
3,1,0,4,1,0,1,0,0,0,2,0,"ID_295385355",1,2,"four",1
1,0,0,4,1,4,1,3,0,1,1,0,"ID_b0ef59571",1,4,"two",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_ae49982e3",1,3,"four",8
3,1,0,3,1,3,1,3,0,0,2,0,"ID_676b7d834",1,5,"three",4
1,0,0,8,1,1,0,1,0,0,1,0,"ID_de6191c9f",1,2,"four",2
1,0,0,3,1,0,0,0,0,0,1,0,"ID_65e389e16",1,1,"three",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_8517e8644",1,1,"four",2
4,0,150000,5,1,2,1,1,0,1,4,0,"ID_a16916f03",1,5,"four",4
0,0,70000,4,1,2,0,2,0,0,0,0,"ID_2647650fe",1,2,"four",2
3,2,0,4,1,1,2,1,0,0,1,0,"ID_cae57041e",1,2,"three",7
1,0,30000,6,1,4,0,4,0,0,1,0,"ID_431d4a3c8",1,5,"four",8
1,0,119813,4,1,0,0,0,0,0,1,0,"ID_e4d918a0d",1,1,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_ddeea94f0",1,3,"four",1
2,0,0,4,1,1,0,1,0,0,2,0,"ID_9d2fcb94c",1,3,"four",1
2,0,0,5,1,0,0,0,0,0,2,0,"ID_e6e137af6",1,2,"two",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_dc5938152",1,2,"two",2
2,1,0,6,1,2,1,2,0,0,1,1,"ID_fc3cafa48",1,3,"two",3
1,0,0,3,1,3,1,2,0,1,1,0,"ID_f971b9fbb",1,3,"four",8
2,0,0,5,1,3,0,3,0,0,2,0,"ID_06218776d",1,5,"four",8
1,0,0,5,1,0,0,0,0,0,1,0,"ID_a5fc0579b",1,1,"two",2
2,0,105661,5,1,4,0,4,0,0,2,0,"ID_d8119847a",1,6,"three",8
5,2,80000,5,1,2,2,2,0,0,3,0,"ID_221036153",1,5,"one",4
1,0,0,5,1,0,0,0,0,0,1,0,"ID_7e4b07dba",1,1,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_96e9afefc",1,2,"two",2
3,1,0,5,1,2,1,2,0,0,2,0,"ID_de722f9ad",1,4,"four",4
0,0,0,3,1,1,0,1,0,0,0,0,"ID_e00563c35",1,1,"four",2
1,0,240000,8,1,2,1,1,0,1,1,0,"ID_f17ab32cd",1,2,"four",2
1,0,80000,4,1,3,0,3,0,0,1,0,"ID_b738e72c8",1,4,"three",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_87bd77440",1,3,"four",8
3,2,0,4,0,2,3,1,0,1,1,0,"ID_18b0a845b",1,2,"one",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_3b5c00cd9",1,3,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_9e915b9ff",1,1,"three",2
3,0,188000,7,1,1,0,1,0,0,3,0,"ID_daeb2e6a9",1,4,"four",4
2,0,0,3,1,1,0,1,0,0,2,0,"ID_8285f8349",1,3,"two",1
2,0,3e+05,4,1,2,0,2,0,0,2,0,"ID_e724a1918",1,4,"four",8
3,0,0,5,1,2,0,2,0,0,3,0,"ID_2dacaa61d",1,5,"four",4
4,1,94000,6,1,3,2,2,0,1,3,0,"ID_01e21d595",1,5,"four",4
3,3,0,4,1,2,3,2,0,0,0,0,"ID_06a9eaaa1",1,2,"one",7
2,1,0,5,1,1,1,1,0,0,1,0,"ID_874901314",1,2,"four",1
1,0,0,7,1,3,0,3,0,0,1,0,"ID_ecb915d1e",1,4,"four",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_bb339e61b",1,4,"two",8
0,0,45000,5,1,1,0,1,0,0,0,0,"ID_e201cccdc",1,1,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_8db1b8c5e",1,2,"four",2
1,0,0,4,0,1,0,1,0,0,1,0,"ID_e14c0ad97",1,2,"three",5
1,0,0,4,1,1,0,1,0,0,1,0,"ID_5c6edb5d6",1,2,"three",2
1,0,110000,5,1,1,0,1,0,0,1,0,"ID_8749c4353",1,2,"four",2
1,0,0,4,0,2,0,2,0,0,1,0,"ID_973447cf7",1,3,"four",5
0,0,0,5,1,1,0,1,0,0,0,0,"ID_102e4540f",1,1,"four",2
1,0,0,6,1,3,2,1,0,2,1,0,"ID_f8f357aae",1,2,"two",7
3,0,1e+05,7,1,2,0,2,0,0,3,0,"ID_c873e9cd1",1,5,"four",4
1,0,0,8,1,0,0,0,0,0,1,0,"ID_bb8c46bb6",1,1,"four",2
3,0,0,5,1,1,0,1,0,0,3,0,"ID_118ec4d1f",1,4,"four",1
2,0,0,5,1,1,0,1,0,0,2,0,"ID_3ce5f4090",1,3,"two",1
2,1,0,4,1,1,1,1,0,0,1,0,"ID_7c7c06bc2",1,2,"four",1
1,0,0,7,1,1,0,1,0,0,1,0,"ID_7e909990f",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_662144df9",1,2,"four",2
1,0,89000,3,1,1,0,1,0,0,1,0,"ID_da422afee",1,2,"four",2
