"id","monthly_rent_payment","overcrowding_by_bedrooms","number_of_all_rooms_in_the_house","overcrowding_by_rooms","has_bathroom_in_the_household","if_the_household_has_refrigerator","males_younger_than_12_years_of_age","males_12_years_of_age_and_older","total_males_in_the_household","females_younger_than_12_years_of_age","females_12_years_of_age_and_older","total_females_in_the_household","persons_younger_than_12_years_of_age","persons_12_years_of_age_and_older","number_of_persons_living_in_the_household","years_of_schooling","years_behind_in_school","household_size","if_predominant_material_on_the_outside_wall_is_block_or_brick","if_predominant_material_on_the_outside_wall_is_socket_wood_zinc_or_absbesto","if_predominant_material_on_the_outside_wall_is_prefabricated_or_cement","if_predominant_material_on_the_outside_wall_is_waste_material","if_predominant_material_on_the_outside_wall_is_wood","if_predominant_material_on_the_outside_wall_is_zink","if_predominant_material_on_the_outside_wall_is_natural_fibers","if_predominant_material_on_the_outside_wall_is_other","if_predominant_material_on_the_floor_is_mosaic_ceramic_terrazo","if_predominant_material_on_the_floor_is_cement","if_predominant_material_on_the_floor_is_other","if_predominant_material_on_the_floor_is_natural_material","if_no_floor_at_the_household","if_predominant_material_on_the_floor_is_wood","if_predominant_material_on_the_roof_is_metal_foil_or_zink","if_predominant_material_on_the_roof_is_fiber_cement_mezzanine","if_predominant_material_on_the_roof_is_natural_fibers","if_predominant_material_on_the_roof_is_other","if_the_house_has_ceiling","if_water_provision_inside_the_dwelling","if_water_provision_outside_the_dwelling","if_no_water_provision","electricity_from_cnfl_ice_esph_or_jasec","electricity_from_private_plant","no_electricity_in_the_dwelling","no_toilet_in_the_dwelling","toilet_connected_to_septic_tank","toilet_connected_to_black_hole_or_letrine","toilet_connected_to_other_system","no_main_source_of_energy_used_for_cooking_no_kitchen","main_source_of_energy_used_for_cooking_electricity","main_source_of_energy_used_for_cooking_gas","main_source_of_energy_used_for_cooking_wood_charcoal","if_rubbish_disposal_mainly_by_tanker_truck","if_rubbish_disposal_mainly_by_botan_hollow_or_buried","if_rubbish_disposal_mainly_by_burning","if_rubbish_disposal_mainly_by_throwing_in_an_unoccupied_space","if_rubbish_disposal_mainly_other","if_walls_are_bad","if_walls_are_regular","if_walls_are_good","if_roof_are_bad","if_roof_are_regular","if_roof_are_good","if_floor_are_bad","if_floor_are_regular","if_floor_are_good","if_disable_person","if_male","if_female","if_less_than_10_years_old","if_free_or_coupled_uunion","if_married","if_divorced","if_separated","if_single","if_household_head","household_level_identifier","number_of_children_0_to_19_in_household","number_of_adults_in_household","no_of_individuals_65_plus_in_the_household","of_total_individuals_in_the_household","dependency","edjefe","edjefa","meaneduc","no_level_of_education","incomplete_primary","complete_primary","incomplete_academic_secondary_level","complete_academic_secondary_level","incomplete_technical_secondary_level","complete_technical_secondary_level","undergraduate_and_higher_education","postgraduate_higher_education","bedrooms","overcrowding","own_and_fully_paid_house","own_paying_in_installments","rented","precarious","other_assigned_borrowed","if_the_household_has_notebook_or_desktop_computer","if_the_household_has_tv","no_of_mobile_phones","region_central","region_chorotega","region_pacafico_central","region_huetar_atlantica","region_huetar_norte","area_zona_urbana","area_zona_rural","age_in_years","years_of_education_of_male_head_of_household_squared","target"
"ID_e03eb76b9",2e+05,0,5,0,1,1,0,4,4,0,1,1,0,5,5,7.2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"fd8cd9fa1",1,4,0,5,0.25,6,0,9,0,0,1,0,0,0,0,0,0,3,1.6666666,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,62,36,"four"
"ID_09389d0de",0,0,2,0,1,1,0,1,1,0,1,1,0,2,2,15,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,"e4d84c33a",0,2,0,2,0,19,0,15,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,64,361,"four"
"ID_a4a123514",0,0,5,0,1,1,0,3,3,0,2,2,0,5,5,6.8,0.2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"06219c98f",3,2,0,5,1.5,5,0,5.5,0,1,0,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,46,25,"three"
"ID_d90778792",0,0,4,0,1,1,1,1,2,1,3,4,2,4,6,7.5,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"e235a4eec",3,3,0,6,1,0,11,12,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,35,0,"two"
"ID_3ce5f4090",0,0,5,0,1,1,0,1,1,0,2,2,0,3,3,7.66666666666667,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"1773092b3",0,3,2,3,2,6,0,7.6666665,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,68,36,"two"
"ID_494b508a4",0,0,4,0,1,1,0,2,2,0,1,1,0,3,3,8,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,"7c97278a8",0,3,1,3,0.5,0,6,8,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,45,0,"one"
"ID_bf2e5e35e",0,0,4,0,1,1,1,1,2,0,3,3,1,4,5,8,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"3d4d50015",2,3,0,5,0.66666669,0,8,12,0,0,0,1,0,0,0,0,0,2,2.5,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,39,0,"one"
"ID_0406c2534",0,0,4,0,1,1,0,1,1,0,1,1,0,2,2,6,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,"1353baa8f",0,2,2,2,8,0,6,6,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,79,0,"four"
"ID_ce1115e52",0,0,7,0,1,1,0,1,1,0,1,1,0,2,5,10,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"6bfb571a9",0,2,0,2,0,6,0,10,0,0,1,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,1,4,1,0,0,0,0,1,0,30,36,"four"
"ID_47608aea0",0,0,4,0,1,1,0,1,1,1,3,4,1,4,5,6.4,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"7b337541c",2,3,0,5,0.66666669,4,0,8.333333,0,1,0,0,0,0,0,0,0,2,2.5,1,0,0,0,0,0,1,4,0,0,1,0,0,1,0,45,16,"three"
"ID_63ec32b50",0,1,4,1,1,1,1,2,3,0,1,1,1,3,11,3,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"62f3d524a",1,3,0,4,0.33333334,6,0,4,0,0,1,0,0,0,0,0,0,2,5.5,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,50,36,"three"
"ID_2a67a7630",0,0,7,0,1,1,0,1,1,0,3,3,0,4,4,11.25,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"ac94e73e6",1,3,0,4,0.33333334,15,0,13,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,55,225,"four"
"ID_1bc0561a1",0,0,4,0,1,1,0,1,1,0,0,0,0,1,4,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"bfb873d3a",0,1,0,1,0,6,0,6,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,39,36,"four"
"ID_9e962995f",160000,0,4,0,1,1,0,2,2,0,3,3,0,5,5,7.8,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"f1a9eef39",3,2,0,5,1.5,0,7,12,0,0,0,1,0,0,0,0,0,2,2.5,0,0,1,0,0,0,1,4,1,0,0,0,0,1,0,36,0,"two"
"ID_92ae5ec3c",0,0,6,0,1,1,0,0,0,0,4,4,0,4,4,10.5,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"35703dd9d",3,1,0,4,3,0,15,25,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,41,0,"four"
"ID_f889fd1e7",0,0,5,0,1,1,0,2,2,0,1,1,0,3,3,12.6666666666667,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"1589bf60b",1,2,0,3,0.5,16,0,16,0,0,0,0,0,0,0,1,0,2,1.5,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,37,256,"four"
"ID_ceb78b059",13000,0,5,0,1,0,0,1,1,0,0,0,0,1,1,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"6e5d1443a",0,1,0,1,0,6,0,6,0,0,1,0,0,0,0,0,0,3,0.33333334,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,32,36,"three"
"ID_b434055f3",0,0,5,0,1,1,1,3,4,0,2,2,1,5,6,7.66666666666667,0.333333333333333,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"591fb1894",2,4,0,6,0.5,0,5,9.5,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,45,0,"four"
"ID_ffd56087f",50000,0,5,0,1,1,4,1,5,0,1,1,4,2,9,1.83333333333333,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"ad25b4913",4,2,0,6,2,0,0,4.5,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,5,0,0,1,0,0,0,1,31,0,"three"
"ID_37eca8f67",525000,0,5,0,1,1,0,1,1,0,1,1,0,2,2,14.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,"ef36375da",0,2,0,2,0,17,0,14.5,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,33,289,"four"
"ID_5c7addd02",0,0,5,0,1,1,0,1,1,0,2,2,0,3,3,6.66666666666667,0.333333333333333,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"0d62666ad",1,2,0,3,0.5,7,0,6.5,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,52,49,"three"
"ID_853595e16",0,0,4,0,1,0,0,1,1,0,2,2,0,3,3,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"17fb04a62",0,3,0,3,0,0,6,8,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,49,0,"two"
"ID_86e12edac",0,0,2,0,1,1,2,0,2,0,1,1,2,1,3,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,"5f92b379b",2,1,0,3,2,0,5,5,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,30,0,"one"
"ID_66f8f6c34",0,0,5,0,1,1,0,1,1,0,1,1,0,2,2,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,"dbcc310b0",0,2,0,2,0,0,6,6,0,0,1,0,0,0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,57,0,"one"
"ID_0e1cdaf32",0,0,3,0,1,1,0,1,1,0,1,1,0,2,2,6,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"57058094a",0,2,0,2,0,6,0,6,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,63,36,"three"
"ID_afbc25a99",1e+05,0,3,0,1,1,0,1,1,0,2,2,0,3,3,8,0.666666666666667,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"07a5de1ba",2,1,0,3,2,0,8,8,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,38,0,"four"
"ID_39c99a994",0,0,6,0,1,1,1,2,3,1,2,3,2,4,6,9.16666666666667,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"00edc0d0f",2,4,0,6,0.5,13,0,13.75,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,1,4,1,0,0,0,0,1,0,57,169,"four"
"ID_fa1ebbbfd",0,0,3,0,1,1,0,0,0,1,1,2,1,1,2,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,"9426b5ed9",1,1,0,2,1,0,5,5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,41,0,"one"
"ID_c2821672f",684648,0,6,0,1,1,0,2,2,0,1,1,0,3,3,12.6666666666667,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,"256dfbc43",1,2,0,3,0.5,0,12,19,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,57,0,"four"
"ID_a942bcc97",0,0,4,0,1,1,0,1,1,1,1,2,1,2,3,5.66666666666667,0.333333333333333,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"b84f8af2b",1,2,0,3,0.5,2,0,7,0,1,0,0,0,0,0,0,0,2,1.5,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,32,4,"two"
"ID_24a47418a",0,0,4,0,1,1,0,1,1,0,1,1,0,2,2,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,"f2ce59637",0,2,2,2,8,0,3,4,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,75,0,"two"
"ID_05f831d4c",0,0,4,0,1,1,1,0,1,0,1,1,1,1,3,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,"a0f7639b5",1,1,0,2,1,0,10,10,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,23,0,"two"
"ID_f94581482",60000,0,4,0,1,1,0,2,2,0,1,1,0,3,3,5.33333333333333,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"2387dcb4b",1,2,0,3,0.5,0,6,5.5,0,0,1,0,0,0,0,0,0,2,1.5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,63,0,"two"
"ID_8770278e2",0,0,4,0,1,1,0,1,1,0,2,2,0,3,3,3.66666666666667,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"cf72a46fc",1,2,0,3,0.5,2,0,2,0,1,0,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,59,4,"one"
"ID_ad345814a",1e+05,1,4,0,1,1,1,1,2,2,4,6,3,5,8,4.875,0.75,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"a4a67ad4e",6,2,0,8,3,9,0,7.5,0,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,43,81,"two"
"ID_4bbdd844f",0,0,5,0,1,1,0,2,2,0,1,1,0,3,3,10,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"948fd472c",0,3,0,3,0,15,0,10,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,64,225,"four"
"ID_ef32d6ceb",0,0,3,0,1,0,0,1,1,0,2,2,0,3,3,4.33333333333333,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,"259381ed8",0,3,2,3,2,0,3,4.3333335,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,91,0,"two"
"ID_2b934ba57",0,0,3,0,1,1,0,1,1,1,2,3,1,3,4,7.25,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"812df6dad",1,3,0,4,0.33333334,0,8,9.666667,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,57,0,"four"
"ID_539248977",0,0,6,0,1,1,0,1,1,0,1,1,0,2,2,8,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"82c7e857e",0,2,0,2,0,7,0,8,0,0,0,1,0,0,0,0,0,3,0.66666669,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,32,49,"four"
"ID_9a93fc030",0,0,4,0,1,1,0,1,1,0,1,1,0,2,2,6,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"0b7e811bf",0,2,1,2,1,3,0,6,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,67,9,"four"
"ID_9d13008e7",80000,1,4,1,1,1,5,2,7,2,4,6,7,6,13,2.61538461538462,0.384615384615385,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"fd8a6d014",9,4,0,13,2.25,0,0,4,1,0,0,0,0,0,0,0,0,3,4.3333335,0,0,1,0,0,0,0,6,1,0,0,0,0,1,0,45,0,"one"
"ID_2b333e36f",150000,0,5,0,1,1,0,1,1,0,1,1,0,2,2,4.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,"695866ae2",0,2,1,2,1,0,3,4.5,0,1,0,0,0,0,0,0,0,3,0.66666669,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,79,0,"four"
"ID_0c8cf2adf",20000,0,3,0,1,1,3,1,4,0,1,1,3,2,5,1.4,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,"17ab5bcef",3,2,0,5,1.5,0,1,3.5,0,1,0,0,0,0,0,0,0,2,2.5,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,23,0,"two"
"ID_329d68d0c",0,0,4,0,1,1,0,0,0,0,1,1,0,1,1,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"f3b7584c0",0,1,0,1,0,0,6,6,0,0,1,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,62,0,"three"
"ID_f93b30101",0,0,5,0,1,1,0,2,2,0,3,3,0,5,5,10.2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"f6cf0248b",1,4,0,5,0.25,6,0,12.75,0,0,1,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,60,36,"four"
"ID_8285f8349",0,0,3,0,1,1,0,1,1,0,2,2,0,3,3,6,0.666666666666667,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"da1f78c73",1,2,0,3,0.5,5,0,5.5,0,1,0,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,55,25,"two"
"ID_345cd32b7",0,0,5,0,1,1,0,0,0,2,2,4,2,2,4,5.5,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"d8a76ba18",3,1,0,4,3,0,10,10,0,0,0,1,0,0,0,0,0,3,1.3333334,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,33,0,"one"
"ID_f9f170d8e",90000,0,4,0,1,1,0,0,0,0,1,1,0,1,1,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"2480d7421",0,1,0,1,0,0,6,6,0,0,1,0,0,0,0,0,0,2,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,64,0,"four"
"ID_67d35e8bb",0,0,6,0,1,1,0,4,4,0,3,3,0,7,7,5,0.428571428571429,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"c4fb8924e",3,4,0,7,0.75,0,0,7.25,1,0,0,0,0,0,0,0,0,4,1.75,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,35,0,"three"
